codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_tipo_categoria,ocorrencia_tipo_icao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_horario,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_dia_extracao
201305055424986,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-9.9085,-63.0333,ARIQUEMES,RO,BRASIL,SJOG,2013-05-05,11:00:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201605160250139,INCIDENTE GRAVE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,-11.2644,-61.2589,CACOAL,RO,BRASIL,SSKW,2016-05-13,19:19:00,SIM,ATIVA,IG-084/CENIPA/2016,NÃO,,0,1,NÃO,2018-08-28
201805021421302,INCIDENTE,AERÓDROMO,AERÓDROMO,ADRM,-11.4956,-61.4508,CACOAL,RO,BRASIL,SSKW,2018-03-09,22:40:00,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201311259977425,INCIDENTE GRAVE,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA,ARC,-11.4956,-61.4508,CACOAL,RO,BRASIL,SSKW,2013-11-25,12:32:00,,FINALIZADA,IG-209/CENIPA/2013,SIM,2014-04-07,0,1,NÃO,2018-08-28
201103187273112,INCIDENTE,OUTROS,OUTROS,OTHR,-13.195,-60.8184,CEREJEIRAS,RO,BRASIL,****,2011-03-18,13:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
200808073991179,ACIDENTE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,-9.1194,-68.5978,CEREJEIRAS,RO,BRASIL,****,2008-08-07,15:10:00,,FINALIZADA,A - 517/CENIPA/2016,SIM,2016-07-07,0,1,SIM,2018-08-28
201108118145873,ACIDENTE,POUSO LONGO,EXCURSÃO DE PISTA,RE,3.7119,-64.1625,AMAJARI,RR,BRASIL,****,2011-08-11,17:00:00,,FINALIZADA,A-105/CENIPA/2012,SIM,2012-09-20,4,1,NÃO,2018-08-28
201604251335501,INCIDENTE GRAVE,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,3.5544,-61.8694,AMAJARI,RR,BRASIL,****,2016-02-24,05:48:00,SIM,ATIVA,IG-069/CENIPA/2016,NÃO,,0,2,NÃO,2018-08-28
201604062021424,ACIDENTE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,3.7633,-62.4094,AMAJARI,RR,BRASIL,SWAQ,2016-04-05,16:05:00,SIM,FINALIZADA,A-063/CENIPA/2016,SIM,2017-06-22,2,1,SIM,2018-08-28
200902274965349,INCIDENTE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,3.6521,-61.4206,AMAJARI,RR,BRASIL,****,2009-02-27,16:30:00,,FINALIZADA,***,NÃO,,0,1,SIM,2018-08-28
200912289948837,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,-31.6261,-54.2125,ACEGUÁ,RS,BRASIL,****,2009-12-28,17:30:00,,ATIVA,A-512/CENIPA/2018,NÃO,,0,1,NÃO,2018-08-28
201211159478138,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-16.7588,-49.4405,ABADIA DE GOIÁS,GO,BRASIL,****,2012-11-15,12:40:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201208018273083,ACIDENTE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-2.6758,-63.7469,ALTO ALEGRE,RR,BRASIL,****,2012-08-01,16:20:00,,FINALIZADA,A-130/CENIPA/2013,SIM,2014-08-15,1,1,NÃO,2018-08-28
201106206058374,INCIDENTE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,2.9938,-61.314,ALTO ALEGRE,RR,BRASIL,****,2011-06-20,14:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
200811167138358,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,2.81,-61.3831,ALTO ALEGRE,RR,BRASIL,****,2008-11-16,12:25:00,,FINALIZADA,A-566/CENIPA/2015,SIM,2016-03-18,3,1,NÃO,2018-08-28
201111224132085,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,0.7394,-62.0214,ALTO ALEGRE,RR,BRASIL,****,2011-11-22,16:40:00,,FINALIZADA,A-038/CENIPA/2013,SIM,2013-08-22,2,1,NÃO,2018-08-28
201009213278405,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,2.8375,-63.6417,ALTO ALEGRE,RR,BRASIL,****,2010-09-21,17:10:00,,FINALIZADA,A-044/CENIPA/2012,SIM,2012-06-04,2,1,NÃO,2018-08-28
201006099196125,ACIDENTE,INDETERMINADO,INDETERMINADO,UNK,2.9938,-61.314,ALTO ALEGRE,RR,BRASIL,****,2010-06-09,13:00:00,,ATIVA,A DEFINIR,NÃO,,0,1,NÃO,2018-08-28
201104061447671,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,2.8106,-62.0408,ALTO ALEGRE,RR,BRASIL,****,2011-04-06,20:25:00,,FINALIZADA,A-025/CENIPA/2013,SIM,2013-07-30,2,1,NÃO,2018-08-28
201407101908656,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,2.9938,-61.314,ALTO ALEGRE,RR,BRASIL,SWUQ,2014-07-10,14:15:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201609191241236,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,-3.5111,-61.7181,ANAMÃ,AM,BRASIL,****,2016-09-16,19:00:00,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201207125348634,ACIDENTE,VOO CONTROLADO CONTRA O TERRENO,VOO CONTROLADO CONTRA O TERRENO,CFIT,-23.0222,-44.2806,ANGRA DOS REIS,RJ,BRASIL,****,2012-07-12,20:15:00,,FINALIZADA,A-521/CENIPA/2016,SIM,2017-10-27,1,1,NÃO,2018-08-28
200910129260596,ACIDENTE,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,-22.9753,-44.3072,ANGRA DOS REIS,RJ,BRASIL,SDAG,2009-10-12,16:10:00,,FINALIZADA,A-539/CENIPA/2015,SIM,2016-07-07,1,1,SIM,2018-08-28
201509183338691,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-23.0061,-44.3025,ANGRA DOS REIS,RJ,BRASIL,****,2015-09-18,13:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201212272090341,ACIDENTE,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA,ARC,-23.0091,-44.3196,ANGRA DOS REIS,RJ,BRASIL,SDMC,2012-12-27,16:03:00,,FINALIZADA,A-161/CENIPA/2013,SIM,2013-10-21,0,1,NÃO,2018-08-28
201208318138992,ACIDENTE,OUTROS,OUTROS,OTHR,-23.0091,-44.3196,ANGRA DOS REIS,RJ,BRASIL,****,2012-08-31,18:40:00,,ATIVA,A DEFINIR,NÃO,,0,1,NÃO,2018-08-28
201102052791822,INCIDENTE,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-23.0091,-44.3196,ANGRA DOS REIS,RJ,BRASIL,****,2011-02-05,12:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201604271828141,INCIDENTE GRAVE,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA,ARC,-22.9753,-44.3072,ANGRA DOS REIS,RJ,BRASIL,SDAG,2016-04-21,16:45:00,SIM,ATIVA,IG-075/CENIPA/2016,NÃO,,0,1,NÃO,2018-08-28
200801159627220,ACIDENTE,OUTROS,OUTROS,OTHR,-23.0036,-44.2992,ANGRA DOS REIS,RJ,BRASIL,SJXY,2008-01-15,11:41:00,,FINALIZADA,A-025/CENIPA/2010,SIM,2010-04-28,3,1,NÃO,2018-08-28
201604281742226,INCIDENTE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,22.9753,-44.3072,ANGRA DOS REIS,RJ,BRASIL,SDAG,2016-04-21,19:50:00,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201408227604299,ACIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,-23.0091,-44.3196,ANGRA DOS REIS,RJ,BRASIL,SDAG,2014-08-22,14:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
200906128607729,ACIDENTE,INCURSÃO EM PISTA,INCURSÃO EM PISTA,RI,-23.0486,-44.3475,ANGRA DOS REIS,RJ,BRASIL,****,2009-06-12,14:50:00,,ATIVA,A-527/CENIPA/2017,NÃO,,0,1,NÃO,2018-08-28
201609131430542,ACIDENTE,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,-22.9753,-44.3072,ANGRA DOS REIS,RJ,BRASIL,SDAG,2016-09-10,14:10:00,SIM,ATIVA,A-117/CENIPA/2016,NÃO,,0,1,SIM,2018-08-28
201806151358172,INCIDENTE,VAZAMENTO DE OUTROS FLUIDOS,OUTROS,OTHR,-23.0361,-44.3428,ANGRA DOS REIS,RJ,BRASIL,****,2018-05-21,12:00:00,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201407141681337,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-23.0091,-44.3196,ANGRA DOS REIS,RJ,BRASIL,SDAG,2014-07-14,19:25:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201102203023021,INCIDENTE GRAVE,COM ROTOR,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-22.9978,-44.2497,ANGRA DOS REIS,RJ,BRASIL,****,2011-02-20,21:20:00,,ATIVA,A DEFINIR,NÃO,,0,1,NÃO,2018-08-28
201508159929510,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,2.9081,-60.4817,BOA VISTA,RR,BRASIL,****,2015-08-15,14:00:00,,FINALIZADA,A-113/CENIPA/2015,SIM,2018-04-05,0,1,NÃO,2018-08-28
201105165154118,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,2.8167,-60.6705,BOA VISTA,RR,BRASIL,SBBV,2011-05-16,17:42:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
201310055119546,INCIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,2.8167,-60.6705,BOA VISTA,RR,BRASIL,****,2013-10-05,18:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28
