dre;codesc;tipoesc;nomesc;ceu;diretoria;subpref;endereco;numero;bairro;cep;tel1;tel2;fax;situacao;coddist;distrito;setor;codinep;cd_cie;eh;fx_etaria;dt_criacao;ato_criacao;doc_criacao;dt_ini_conv;dt_ini_func;dt_autoriza;dt_extintao;nome_ant;rede;latitude;longitude;database
 BT;191;EMEF        ;ALIPIO CORREA NETO, PROF;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Avenida JOAO CAIAFFA;140;JARDIM TABOAO;5742100;58450121;;;ATIVA;94;VILA SONIA;9404;35098462.0;38488;1,621E+14;;27/05/1988;26.003;27/05/1988;;02/10/1988;16/03/1991;;ALIPIO CORREA NETO, PROF.;DIR;-23.612.237;-46.749.888;30/12/2018
 BT;213;EMEI        ;ANTONIO CARLOS PACHECO E SILVA, PROF;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Avenida JOÃƒO CAIAFFA;90;JARDIM TABOÃƒO;5742100;58448902;;;ATIVA;94;VILA SONIA;9404;35098504.0;13506;1,621E+14;;07/06/1988;26.117;07/06/1988;;26/09/1988;13/03/2001;;ANTONIO CARLOS PACHECO E SILVA, PROF.;DIR;-23.611.929;-46.750.176;30/12/2018
 BT;477;EMEF        ;PROFA. EDA TEREZINHA CHICA MEDEIROS;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua ENGENHEIRO HUGO TAKAHASHI;333;RAPOSO TAVARES;5563120;37820714;;;ATIVA;65;RAPOSO TAVARES;6504;35098474.0;19766;1,621E+14;;26/10/1988;27.212;26/10/1988;;20/02/1989;16/03/1991;;EDA TEREZINHA CHICA MEDEIROS, PROFA.;DIR;-23.602.076;-46.783.825;30/12/2018
 BT;11924;EMEF        ;PROFA. MARIA ALICE BORGES GHION;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua CACHOEIRA PORAQUÃŠ;575;CONJUNTO PROMORAR RAPOSO TAVARES;5574450;37828909;37829756;;ATIVA;65;RAPOSO TAVARES;6501;35076181.0;44289;1,621E+14;;17/02/1992;31.240;17/02/1992;;20/02/1992;13/03/2001;;MARIA ALICE BORGES GHION, PROFA.;DIR;-23.586.959;-46.801.039;30/12/2018
 BT;14591;EMEI        ;PROF. BENEDICTO CASTRUCCI;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua CACHOEIRA PORAQUE;S/N   ;CONJUNTO PROMORAR RAPOSO TAVARES;5574450;37814833;;;ATIVA;65;RAPOSO TAVARES;6501;35200074.0;20806;1,621E+14;;02/03/1994;34.005;02/03/1994;;13/04/1994;13/03/2001;;CONJ. HABITACIONAL RAPOSO TAVARES;DIR;-23.586.339;-46.800.967;30/12/2018
 BT;18236;EMEI        ;PROFA. MARIA APARECIDA VITA PIANTE;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua JOAO FRANCISCO DE MELLO;S/N   ;VILA NOVA ALBA;5358110;37316049;37354386;;ATIVA;67;RIO PEQUENO;6705;35207937.0;27231;1,621E+14;;29/10/1996;36.493;29/10/1996;;05/02/1997;13/03/2001;;VILA NOVA ALBA;DIR;-23.572.618;-46.749.749;30/12/2018
 BT;18244;EMEI        ;PROF. CAMILLO ASHCAR;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua JOSE PORFIRIO DE SOUZA;495;JARDIM RAPOSO TAVARES;5563090;37824835;;;ATIVA;65;RAPOSO TAVARES;6504;35207913.0;4480;1,621E+14;;29/10/1996;36.494;29/10/1996;;05/02/1997;13/03/2005;;CONJ. HABITACIONAL JARDIM EDUCANDARIO;DIR;-23.602.364;-46.782.606;30/12/2018
 BT;18384;EMEI        ;CTE. MORENO;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua MARCOLINO VAZ FIGUEIRA;381;JARDIM DAS ESMERALDAS;5549130;37519755;37824966;;ATIVA;65;RAPOSO TAVARES;6506;35207925.0;33490;1,621E+14;;11/12/1996;36.625;11/12/1996;;24/02/1997;13/03/2001;;JARDIM GUARAU;DIR;-23.595.787;-46.765.135;30/12/2018
 BT;19160;EMEF        ;PROFA. ILEUSA CAETANO DA SILVA;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua D;10;JARDIM EDUCANDARIO;5564100;37829767;;;ATIVA;65;RAPOSO TAVARES;6504;35224236.0;45898;1,621E+14;;16/02/1998;37.325;16/02/1998;;16/03/1998;13/03/2001;;ILEUSA CAETANO DA SILVA, PROFA.;DIR;-2.359.983;-46.776.741;30/12/2018
 BT;19242;EMEI        ;PROFA. MARIAZINHA REZENDE FUSARI;;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;BUTANTA;Rua EUDORO LINCOLN BERLINCK;118;JARDIM ARPOADOR;5565200;37827064;37827248;;ATIVA;65;RAPOSO TAVARES;6505;35279894.0;6238;1,621E+14;;17/05/2002;41.992;16/05/2002;;02/09/2002;08/05/2007;;JARDIM JOAO XXIII;DIR;-23.595.364;-46.790.479;30/12/2018
