codigo;nome;latitude;longitude;localizacao;capacidadebikes
1;1 - Prefeitura;-8.05529;-34.87221;Prefeitura;15
2;2 - Praça Tiradentes;-8.05873;-34.87247;Praça Tiradentes;15
3;3 - Praça do Arsenal;-8.061392;-34.871049;Rua do Bom Jesus com Rua Barão Rodrigues Mendes;23
4;4 - Boulevard Rio Branco;-8.0625979;-34.872696;Av. Rio Branco;23
5;5 - Paço Alfândega;-8.063705;-34.8742113;Paço Alfândega;23
6;6 - Cais de Santa Rita;-8.06707;-34.8757;Cais de Santa Rita;15
7;7 - Praça da República;-8.06112;-34.87839;Praça da República;19
8;8 - Praça da Independência;-8.06418;-34.87837;Praça da Independência;23
9;9 - Praça Joaquim Nabuco;-8.06444;-34.88135;Praça Joaquim Nabuco;23
10;10 - Casa da Cultura;-8.06673;-34.88294;Casa da Cultura;27
11;11 - Ponte do Limoeiro;-8.05039;-34.87397;Ponte do Limoeiro;15
12;12 - Camilo Simões;-8.05316;-34.87581;Obelisco Aurora;23
13;13 - Tortura Nunca Mais;-8.056193;-34.878319;Tortura Nunca Mais;19
14;14 - Parque Treze de Maio;-8.05854;-34.88106;Parque Treze de Maio;19
15;15 - Cine São Luiz;-8.0623763;-34.8819838;Rua Dr. Sebastião Lins, lateral do Cinema São Luiz;11
16;16 - Matriz da Boa Vista;-8.06263;-34.88519;Matriz da Boa Vista;15
17;17 - Igreja de Santa Cruz;-8.06231;-34.88813;Igreja de Santa Cruz;15
18;18 - Riachuelo;-8.05826;-34.88571;Riachuelo;15
19;19 - Sossego.;-8.0543316;-34.8840345;Rua Gervásio Pires, em frente ao número 826 e oposto ao Conselho Tutelar;15
20;20 - Palmares;-8.0534341;-34.882595;Rua Gervásio Pires, oposto ao número 1075;15
21;21 - Diário de Pernambuco;-8.0512256;-34.87922;Diário de Pernambuco;15
22;22 - Frei Cassimiro;-8.0480364;-34.8780758;Frei Cassimiro;15
23;23 - SESC Santo Amaro;-8.0499004;-34.8827713;Praça do Campo Santo, oposto ao SESC / esquina com Rua do Pombal;19
24;24 - Cemitério de Santo Amaro;-8.051161;-34.8862102;Cemitério de Santo Amaro;15
25;25 - Rua do Lazer;-8.0542505;-34.8881673;Rua Afonso Pena esquina com a Rua Bernardo Guimarães / Universidade Católica de Pernambuco;19
